recipientid,organizationName,contactinfo,trackingId,status,wheredelivery,requestId,requestDetails,requestStatus,coordinatorId,coordinatorName,role,supplierId,supplierName,supplierContactInfo,monitoryagencyId,monitoryAgencyContactInfo,monitoryagencyName,humanitarianCoordinatorId,assignedRegion,Monitoring Agency Address,Monitoring Agency Phone Number,Monitoring Agency Email,Recipient Address,Recipient Phone Number,Recipient Email,Coordinator Phone Number,Coordinator Email,Supplier Address,Supplier Phone Number,Supplier Email
1,CARE,contact5@example.com,500,False,Region D,501,Shelter materials,False,643,Robert Brown,Coordinator,702,AquaPure,supplier7@example.com,570,agency2@example.com,Check G,1037,Northeast,"123 Main St, Springfield",+1-555-901-2345,leader@funds.org,"404 Chestnut St, Northfield",+1-555-678-9012,office@ngo.org,+1-555-890-1234,leader@funds.org,"654 Elm St, Greenwood",+1-555-345-6789,care@provider.com
2,Save the Children,contact7@example.com,101,False,Region B,502,Education materials,False,552,Jane Doe,Liaison,859,BuildAid,supplier5@example.com,875,agency4@example.com,WatchDog C,1036,Southwest,"456 Oak Rd, Fairview",+1-555-556-6778,hello@agency.org,"987 Cedar Ln, Uptown",+1-555-223-3445,hello@agency.org,+1-555-901-2345,staff@help.net,"707 Poplar Pl, Brookside",+1-555-445-5667,helpdesk@charity.net
3,CARE,contact10@example.com,562,False,Region E,503,Medical aid,True,502,Laura Lee,Field Officer,768,HealthFirst,supplier1@example.com,817,agency1@example.com,Verify F,875,South,"321 Maple Blvd, Midtown",+1-555-223-3445,helpdesk@charity.net,"654 Elm St, Greenwood",+1-555-345-6789,contact@example.com,+1-555-345-6789,info@organization.org,"707 Poplar Pl, Brookside",+1-555-123-4567,team@services.com
4,UNHCR,contact6@example.com,355,True,Region D,504,Education materials,True,516,Jane Doe,Analyst,765,ClothMart,supplier3@example.com,561,agency2@example.com,Oversight Org A,895,Southwest,"202 Walnut Dr, Eastside",+1-555-234-5678,office@ngo.org,"909 Sycamore St, Clearview",+1-555-012-3456,staff@help.net,+1-555-012-3456,care@provider.com,"789 Pine Ave, Centerville",+1-555-223-3445,admin@group.net
5,WHO,contact1@example.com,588,True,Region A,505,Water,True,681,Sarah Taylor,Consultant,502,SupplyCo,supplier9@example.com,797,agency10@example.com,Audit I,666,Southeast,"202 Walnut Dr, Eastside",+1-555-567-8901,support@relief.com,"909 Sycamore St, Clearview",+1-555-789-0123,info@organization.org,+1-555-445-5667,hello@agency.org,"101 Birch Rd, Westwood",+1-555-345-6789,admin@group.net
6,World Vision,contact8@example.com,219,True,Region E,506,Food supplies,False,749,Chris Black,Assistant,594,EduSupplies,supplier6@example.com,842,agency2@example.com,Monitor E,1080,Central,"987 Cedar Ln, Uptown",+1-555-667-7889,leader@funds.org,"456 Oak Rd, Fairview",+1-555-223-3445,leader@funds.org,+1-555-445-5667,support@relief.com,"808 Redwood Dr, Meadowlands",+1-555-556-6778,office@ngo.org
7,WHO,contact7@example.com,232,True,Region A,507,Clothing,False,524,Robert Brown,Analyst,643,BuildAid,supplier6@example.com,678,agency9@example.com,Audit Group B,1012,Southwest,"456 Oak Rd, Fairview",+1-555-678-9012,support@domain.net,"101 Birch Rd, Westwood",+1-555-234-5678,hello@agency.org,+1-555-678-9012,executive@aid.net,"456 Oak Rd, Fairview",+1-555-012-3456,hello@agency.org
8,Doctors Without Borders,contact6@example.com,120,False,Region C,508,Sanitation,False,653,Linda Green,Analyst,707,EduSupplies,supplier4@example.com,539,agency7@example.com,Audit Group B,668,South,"909 Sycamore St, Clearview",+1-555-345-6789,director@oversight.com,"909 Sycamore St, Clearview",+1-555-667-7889,info@organization.org,+1-555-901-2345,office@ngo.org,"909 Sycamore St, Clearview",+1-555-234-5678,hello@agency.org
9,Red Cross,contact3@example.com,384,False,Region D,509,Psychological support,False,490,Laura Lee,Manager,528,CleanWorld,supplier10@example.com,922,agency2@example.com,Inspect D,1093,Southwest,"101 Birch Rd, Westwood",+1-555-901-2345,office@ngo.org,"404 Chestnut St, Northfield",+1-555-901-2345,director@oversight.com,+1-555-567-8901,staff@help.net,"505 Spruce Cir, Lakeview",+1-555-567-8901,executive@aid.net
10,UNICEF,contact7@example.com,555,True,Region B,510,Legal aid,False,696,Laura Lee,Director,653,SupplyCo,supplier6@example.com,675,agency10@example.com,Check G,681,Southeast,"707 Poplar Pl, Brookside",+1-555-345-6789,admin@group.net,"303 Aspen Way, Riverview",+1-555-901-2345,info@organization.org,+1-555-445-5667,executive@aid.net,"909 Sycamore St, Clearview",+1-555-890-1234,staff@help.net
